,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
4645,Ryan Ponsonby Burl,15/04/1994,26 years 203 days,Left Handed,Right Arm Leg Break,18 (2017-),
3246,Alexander Graeme Cremer,19/09/1986,34 years 46 days,Right Handed,Right Arm Leg Break,96 (2009-),
4646,Richard Ngarava,28/12/1997,22 years 312 days,Left Handed,Left Arm Fast Medium,11 (2017-),
3237,Christopher Bobby Mpofu,27/11/1985,34 years 343 days,Right Handed,Right Arm Fast Medium,84 (2004-),
3619,Cephas Zhuwawo,15/12/1984,35 years 325 days,Right Handed,Right Arm Leg Break,9 (2008-),
3872,Brian V Vitori,22/02/1990,30 years 256 days,Left Handed,Left Arm Fast Medium,24 (2011-),
4719,Blessing Muzarabani,02/10/1996,24 years 33 days,Right Handed,Right Arm Fast Medium,20 (2018-),
4459,Taurai Muzarabani,27/03/1987,33 years 222 days,Right Handed,Right Arm Fast Medium,8 (2015-2016),
4320,Neville Madziva,02/08/1991,29 years 94 days,Right Handed,Right Arm Medium,12 (2014-2016),
3733,Kyle M Jarvis,16/02/1989,31 years 262 days,Right Handed,Right Arm Fast Medium,49 (2009-),
3026,Hannan Sarkar,01/12/1982,37 years 339 days,Right Handed,Right Arm Medium,20 (2002-2004),
2238,Al Sahariar Rokon,23/04/1978,42 years 195 days,Right Handed,Right Arm Leg Break,29 (1999-2003),
2235,Habibul Bashar,17/08/1972,48 years 79 days,Right Handed,Right Arm Off Break,111 (1995-2007),
3031,Alok Kapali,01/12/1984,35 years 339 days,Right Handed,Right Arm Leg Break,69 (2002-2011),
2861,Sanwar Hossain,05/08/1973,47 years 91 days,Right Handed,Right Arm Off Break,27 (1998-2003),
2998,Tushar Imran,10/12/1983,36 years 330 days,Right Handed,,41 (2001-2007),
2239,Khaled Mashud,08/02/1976,44 years 270 days,Right Handed,,126 (1995-2006),
2744,Khaled Mahmud,26/07/1971,49 years 101 days,Right Handed,Right Arm Medium,77 (1998-2006),
2240,Mohammad Rafique,15/05/1970,50 years 173 days,Left Handed,Left Arm Orthodox,125 (1995-2007),
2241,Hasibul Hussain,03/06/1977,43 years 154 days,Right Handed,Right Arm Fast Medium,32 (1995-2004),
2733,Javed Omar,25/11/1976,43 years 345 days,Right Handed,Right Arm Leg Break,59 (1995-2007),
3032,Tapash Baisya,25/12/1982,37 years 315 days,Right Handed,Right Arm Fast Medium,56 (2002-2007),
2192,Adam C Gilchrist,14/11/1971,48 years 356 days,Left Handed,,287 (1996-2008),
1976,Matthew L Hayden,29/10/1971,49 years 6 days,Left Handed,Right Arm Medium,161 (1993-2008),
2041,Ricky Thomas Ponting,19/12/1974,45 years 321 days,Right Handed,Right Arm Medium,375 (1995-2012),
1098,Damien R Martyn,21/10/1971,49 years 14 days,Right Handed,Right Arm Medium,208 (1992-2006),
2907,Andrew Symonds,09/06/1975,45 years 148 days,Right Handed,Right Arm Medium Fast,198 (1998-2009),
2002,Michael G Bevan,08/05/1970,50 years 180 days,Left Handed,Left Arm Wrist Spin (Chinaman),232 (1994-2004),
2715,Ian J Harvey,10/04/1972,48 years 208 days,Right Handed,Right Arm Medium,73 (1997-2004),
2068,George B Hogg,06/02/1971,49 years 272 days,Left Handed,Left Arm Wrist Spin (Chinaman),123 (1996-2008),
2089,Andrew John Bichel,27/08/1970,50 years 69 days,Right Handed,Right Arm Fast Medium,67 (1997-2004),
2082,Jason N Gillespie,19/04/1975,45 years 199 days,Right Handed,Right Arm Fast,97 (1996-2005),
3006,Brad A Williams,20/11/1974,45 years 350 days,Right Handed,Right Arm Fast Medium,25 (2002-2004),
3561,Shaun Edward Marsh,09/07/1983,37 years 118 days,Left Handed,Left Arm Orthodox,73 (2008-),
3273,James R Hopes,24/10/1978,42 years 11 days,Right Handed,Right Arm Medium,84 (2005-2010),
3325,Cameron L White,18/08/1983,37 years 78 days,Right Handed,Right Arm Leg Break,91 (2005-),
3615,Brett Geeves,13/06/1982,38 years 144 days,Right Handed,Right Arm Fast Medium,2 (2008-2009),
2640,Nathan W Bracken,12/09/1977,43 years 53 days,Right Handed,Left Arm Fast Medium,116 (2001-2009),
3326,Stuart R Clark,28/09/1975,45 years 37 days,Right Handed,Right Arm Fast Medium,39 (2005-2009),
3439,Mehrab Hossain,08/07/1987,33 years 119 days,Left Handed,Left Arm Orthodox,18 (2006-2009),
3517,Junaid Siddique,30/10/1987,33 years 5 days,Left Handed,Right Arm Off Break,54 (2007-2011),
2964,Mohammad Ashraful,07/07/1984,36 years 120 days,Right Handed,Right Arm Leg Break,177 (2001-2013),
3535,Dhiman Ghosh,23/01/1987,33 years 286 days,Right Handed,,14 (2008-2008),
3180,Abdur Razzak,15/06/1982,38 years 142 days,Right Handed,Left Arm Orthodox,153 (2004-2014),
3225,Nazmul Hossain,05/10/1987,33 years 30 days,Right Handed,Right Arm Medium Fast,38 (2004-2012),
3280,Shahadat Hossain,07/08/1988,32 years 89 days,Right Handed,Right Arm Medium Fast,51 (2006-2013),
3017,Shane R Watson,17/06/1981,39 years 140 days,Right Handed,Right Arm Fast Medium,190 (2002-2015),
3283,Shahriar Nafees,25/01/1986,34 years 284 days,Left Handed,,75 (2005-2011),
3131,Rajin Saleh,20/11/1983,36 years 350 days,Right Handed,Right Arm Off Break,43 (2003-2006),
3224,Aftab Ahmed,10/11/1985,34 years 360 days,Right Handed,Right Arm Medium,85 (2004-2010),
3323,Syed Rasel,03/07/1984,36 years 124 days,Left Handed,Left Arm Medium Fast,52 (2005-2010),
2743,Simon M Katich,21/08/1975,45 years 75 days,Left Handed,Left Arm Wrist Spin (Chinaman),45 (2001-2006),
2205,Brett Lee,08/11/1976,43 years 362 days,Right Handed,Right Arm Fast,221 (2000-2012),
3356,Daniel J Cullen,10/04/1984,36 years 208 days,Right Handed,Right Arm Off Break,5 (2006-2006),
3831,John W Hastings,04/11/1985,35 years 0 days,Right Handed,Right Arm Fast Medium,29 (2010-2017),
3537,Mohammad Raqibul Hasan,08/10/1987,33 years 27 days,Right Handed,Right Arm Leg Break,55 (2008-2011),
3771,Suhrawadi Shuvo,21/11/1988,31 years 349 days,Left Handed,Left Arm Orthodox,17 (2010-2011),
3643,Callum J Ferguson,21/11/1984,35 years 349 days,Right Handed,Right Arm Medium,30 (2009-2011),
3725,Timothy David Paine,08/12/1984,35 years 332 days,Right Handed,Right Arm Medium,35 (2009-),
2623,Azhar Hossain,15/03/1964,56 years 234 days,Right Handed,Right Arm Off Break,7 (1988-1990),
2952,Zahid Razzak,02/08/1967,53 years 94 days,Right Handed,,3 (1988-1990),
2693,Gazi Ashraf,29/12/1960,59 years 311 days,Right Handed,Right Arm Off Break,7 (1986-1990),
2237,Akram Khan,01/11/1968,52 years 3 days,Right Handed,Right Arm Medium,44 (1988-2003),
2681,Faruk Ahmed,24/07/1966,54 years 103 days,Right Handed,Right Arm Off Break,7 (1988-1999),
2783,Minhajul Abedin,25/09/1965,55 years 40 days,Right Handed,Right Arm Off Break,27 (1986-1999),
2236,Aminul Islam,02/02/1968,52 years 276 days,Right Handed,Right Arm Off Break,39 (1988-2002),
2677,Enamul Haque,27/02/1966,54 years 251 days,Left Handed,Left Arm Orthodox,29 (1990-2002),
2800,Nasir Ahmed,01/01/1964,56 years 308 days,Right Handed,,7 (1988-1990),
2607,Alam Talukdar,04/12/1968,51 years 336 days,Right Handed,Left Arm Medium,2 (1990-1990),
2696,Gholam Nousher,06/10/1964,56 years 29 days,Left Handed,Left Arm Medium,9 (1986-1990),
2234,Mehrab Hossain,22/09/1978,42 years 43 days,Right Handed,Right Arm Medium,18 (1998-2003),
2232,Naimuir Rahman,19/09/1974,46 years 46 days,Right Handed,Right Arm Off Break,29 (1995-2002),
2762,Manjural Islam,07/11/1979,40 years 363 days,Left Handed,Left Arm Fast Medium,34 (1999-2003),
3046,Mazharul Haque,03/07/1980,40 years 124 days,Right Handed,Right Arm Off Break,1 (2002-2002),
2076,Michael S Kasprowicz,10/02/1972,48 years 268 days,Right Handed,Right Arm Fast Medium,43 (1995-2005),
1133,Glenn D McGrath,09/02/1970,50 years 269 days,Right Handed,Right Arm Fast Medium,250 (1993-2007),
3143,Manjural Islam Rana,04/05/1984,,Left Handed,Left Arm Orthodox,25 (2003-2006),16/03/2007
3842,Usman T Khawaja,18/12/1986,33 years 322 days,Left Handed,Right Arm Medium,40 (2013-),
4389,Marcus Peter Stoinis,16/08/1989,31 years 80 days,Right Handed,Right Arm Medium,44 (2015-),
4726,Alex Tyson Carey,27/08/1991,29 years 69 days,Left Handed,Left Arm Medium Fast,39 (2018-),
4001,Nathan M Coulter-Nile,11/10/1987,33 years 24 days,Right Handed,Right Arm Fast,32 (2013-),
3909,Patrick J Cummins,08/05/1993,27 years 180 days,Right Handed,Right Arm Fast,67 (2011-),
4527,Adam Zampa,31/03/1992,28 years 218 days,Right Handed,Right Arm Leg Break,58 (2016-),
0218,Geoffrey Boycott,21/10/1940,80 years 14 days,Right Handed,Right Arm Medium,36 (1971-1981),
0495,John Hugh Edrich,21/06/1937,83 years 136 days,Left Handed,Right Arm Medium,7 (1971-1975),
0547,Keith William Robert Fletcher,20/05/1944,76 years 168 days,Right Handed,Right Arm Leg Break,24 (1971-1982),
0402,Basil L D'Oliveira,04/10/1931,,Right Handed,Right Arm Medium,4 (1971-1972),19/11/2011
0697,John H Hampshire,10/02/1941,79 years 268 days,Right Handed,,3 (1971-1972),
0375,Michael Colin Cowdrey,24/12/1932,,Right Handed,Right Arm Leg Break,1 (1971-1971),04/12/2000
0834,Raymond Illingworth,08/06/1932,88 years 149 days,Right Handed,Right Arm Off Break,3 (1971-1973),
0952,Alan P E Knott,09/04/1946,74 years 209 days,Right Handed,,20 (1971-1977),
1651,John Augustine Snow,13/10/1941,79 years 22 days,Right Handed,Right Arm Fast,9 (1971-1975),
1589,Kenneth Shuttleworth,13/11/1944,75 years 357 days,Right Handed,Right Arm Fast Medium,1 (1971-1971),
1005,Peter Lever,17/09/1940,80 years 48 days,Right Handed,Right Arm Fast Medium,10 (1971-1975),
1452,Ian Ritchie Redpath,11/05/1941,79 years 177 days,Right Handed,Right Arm Medium,5 (1971-1975),
0501,Walter J Edwards,23/12/1949,70 years 317 days,Left Handed,,1 (1975-1975),
0312,Ian Michael Chappell,26/09/1943,77 years 39 days,Right Handed,Right Arm Leg Break,16 (1971-1980),
0311,Gregory Stephen Chappell,07/08/1948,72 years 89 days,Right Handed,Right Arm Medium,74 (1971-1983),
0500,Ross Edwards,01/12/1942,77 years 339 days,Right Handed,,9 (1972-1975),
1847,Kevin Douglas Walters,21/12/1945,74 years 319 days,Right Handed,Right Arm Medium,28 (1971-1981),
1089,Rodney William Marsh,11/11/1947,72 years 359 days,Left Handed,,92 (1971-1984),
0875,Terrence J Jenner,08/09/1944,,Right Handed,Right Arm Leg Break,1 (1975-1975),24/05/2011
1839,Maxwell Henry Norman Walker,12/09/1948,,Right Handed,Right Arm Fast Medium,17 (1974-1981),28/09/2016
1745,Jeffrey Robert Thomson,16/08/1950,70 years 80 days,Right Handed,Right Arm Fast,50 (1975-1985),
0817,Alan G Hurst,15/07/1950,70 years 112 days,Right Handed,Right Arm Fast,8 (1975-1979),
1929,Graeme M Wood,06/11/1956,63 years 364 days,Left Handed,,83 (1978-1989),
0761,Andrew M J Hilditch,20/05/1956,64 years 168 days,Right Handed,,8 (1979-1985),
0209,Allan R Border,27/07/1955,65 years 100 days,Left Handed,Left Arm Orthodox,273 (1979-1994),
1952,Graham N Yallop,07/10/1952,68 years 28 days,Left Handed,Left Arm Medium,30 (1978-1984),
0810,Kimberley John Hughes,26/01/1954,66 years 283 days,Right Handed,,97 (1977-1985),
0296,Philip H Carlson,08/08/1951,69 years 88 days,Right Handed,Right Arm Medium,4 (1979-1979),
0987,Trevor J Laughlin,30/01/1951,69 years 279 days,Left Handed,Right Arm Medium,6 (1978-1979),
1050,John A Maclean,27/04/1946,74 years 191 days,Right Handed,,2 (1979-1979),
0778,Rodney M Hogg,05/03/1951,69 years 244 days,Right Handed,Right Arm Fast,71 (1979-1985),
0488,Geoffrey Dymock,21/07/1945,75 years 106 days,Left Handed,Left Arm Medium Fast,15 (1974-1980),
0230,John M Brearley,28/04/1942,78 years 190 days,Right Handed,,25 (1977-1980),
1436,Derek W Randall,24/02/1951,69 years 254 days,Right Handed,Right Arm Medium,49 (1976-1985),
0627,Graham A Gooch,23/07/1953,67 years 104 days,Right Handed,Right Arm Medium,125 (1976-1995),
0634,David I Gower,01/04/1957,63 years 217 days,Left Handed,Right Arm Off Break,114 (1978-1991),
0212,Ian Terence Botham,24/11/1955,64 years 346 days,Right Handed,Right Arm Medium Fast,116 (1976-1992),
0118,David L Bairstow,01/09/1951,,Right Handed,,21 (1979-1984),05/01/1998
1298,Christopher Middleton Old,22/12/1948,71 years 318 days,Left Handed,Right Arm Fast Medium,32 (1973-1981),
1917,Robert George Dylan Willis,30/05/1949,,Right Handed,Right Arm Fast,64 (1973-1984),04/12/2019
0752,Michael Hendrick,22/10/1948,72 years 13 days,Right Handed,Right Arm Fast Medium,22 (1973-1981),
1004,John K Lever,24/02/1949,71 years 254 days,Right Handed,Left Arm Fast Medium,22 (1976-1982),
0494,Phillippe H Edmonds,08/03/1951,69 years 241 days,Right Handed,Left Arm Orthodox,29 (1977-1987),
1904,Julien M Wiener,01/05/1955,65 years 187 days,Right Handed,Right Arm Off Break,7 (1979-1980),
0968,Bruce M Laird,21/11/1950,69 years 349 days,Right Handed,,23 (1979-1982),
0235,Raymond J Bright,13/07/1954,66 years 114 days,Right Handed,Left Arm Orthodox,11 (1974-1986),
1013,Dennis K Lillee,18/07/1949,71 years 109 days,Right Handed,Right Arm Fast,63 (1972-1983),
1912,Peter Willey,06/12/1949,70 years 334 days,Right Handed,Right Arm Off Break/Right Arm Medium,26 (1977-1986),
0450,Graham R Dilley,18/05/1959,,Left Handed,Right Arm Fast,36 (1979-1988),05/10/2011
1798,Derek Leslie Underwood,08/06/1945,75 years 149 days,Right Handed,Left Arm Orthodox,26 (1973-1982),
1338,Leonard S Pascoe,13/02/1950,70 years 265 days,Right Handed,Right Arm Fast,29 (1977-1982),
1124,Richard B McCosker,11/12/1946,73 years 329 days,Right Handed,,14 (1975-1982),
0489,John Dyson,11/06/1954,66 years 146 days,Right Handed,,29 (1980-1983),
1885,Kepler Christoffel Wessels,14/09/1957,63 years 51 days,Left Handed,Right Arm Medium,109 (1983-1994),
0790,David W Hookes,03/05/1955,,Left Handed,Left Arm Wrist Spin (Chinaman),39 (1977-1986),19/01/2004
0992,Geoffrey Francis Lawson,07/12/1957,62 years 333 days,Right Handed,Right Arm Fast Medium,79 (1980-1989),
1413,Carl Grau Rackemann,03/06/1960,60 years 154 days,Right Handed,Right Arm Fast Medium,52 (1983-1991),
0357,Geoffrey Cook,09/10/1951,69 years 26 days,Right Handed,Left Arm Orthodox,6 (1981-1983),
2700,Ian J Gould,19/08/1957,63 years 77 days,Left Handed,,18 (1983-1983),
0971,Allan J Lamb,20/06/1954,66 years 137 days,Right Handed,Right Arm Medium,122 (1982-1992),
2738,Trevor E Jesty,02/06/1948,72 years 155 days,Right Handed,Right Arm Medium,10 (1983-1983),
1177,Geoffrey Miller,08/09/1952,68 years 57 days,Right Handed,Right Arm Off Break,25 (1977-1984),
1085,Victor J Marks,25/06/1955,65 years 132 days,Right Handed,Right Arm Off Break,34 (1980-1988),
0373,Norman G Cowans,17/04/1961,59 years 201 days,Right Handed,Right Arm Fast,23 (1983-1985),
1720,Christopher James Tavare,27/10/1954,66 years 8 days,Right Handed,,29 (1980-1984),
1400,Derek Raymond Pringle,18/09/1958,62 years 47 days,Right Handed,Right Arm Medium Fast,44 (1982-1993),
0749,Edward E Hemmings,20/02/1949,71 years 258 days,Right Handed,Right Arm Off Break,33 (1982-1991),
0850,Robin D Jackman,13/08/1945,75 years 83 days,Right Handed,Right Arm Fast Medium,15 (1974-1983),
0559,Graeme Fowler,20/04/1957,63 years 198 days,Left Handed,,26 (1983-1986),
0468,Paul R Downton,04/04/1957,63 years 214 days,Right Handed,,28 (1977-1988),
0593,Michael William Gatting,06/06/1957,63 years 151 days,Right Handed,Right Arm Medium,92 (1977-1993),
0374,Christopher S Cowdrey,20/10/1957,63 years 15 days,Right Handed,Right Arm Medium,3 (1985-1985),
0508,Richard M Ellison,21/09/1959,61 years 44 days,Left Handed,Right Arm Fast Medium,14 (1984-1986),
0012,Jonathan P Agnew,04/04/1960,60 years 214 days,Right Handed,Right Arm Fast,3 (1985-1985),
0237,Brian C Broad,29/09/1957,63 years 36 days,Left Handed,Right Arm Medium,34 (1987-1988),
0102,Charles W J Athey,27/09/1957,63 years 38 days,Right Handed,Right Arm Medium,31 (1980-1988),
1469,Clifton James Richards,10/08/1958,62 years 86 days,Right Handed,,22 (1981-1988),
0425,Phillip A J De Freitas,18/02/1966,54 years 260 days,Right Handed,Right Arm Fast Medium,103 (1987-1997),
0509,John E Emburey,20/08/1952,68 years 76 days,Right Handed,Right Arm Off Break,61 (1980-1993),
1619,Gladstone C Small,18/10/1961,59 years 17 days,Right Handed,Right Arm Fast Medium,53 (1987-1992),
1088,Geoffrey Robert Marsh,31/12/1958,61 years 309 days,Right Handed,,117 (1986-1992),
1883,Dirk M Wellham,13/03/1959,61 years 236 days,Right Handed,,17 (1981-1987),
0888,Dean M Jones,24/03/1961,,Right Handed,Right Arm Off Break,164 (1984-1994),24/09/2020
1873,Stephen Rodger Waugh,02/06/1965,55 years 155 days,Right Handed,Right Arm Medium,325 (1986-2002),
1288,Simon P O'Donnell,26/01/1963,57 years 283 days,Right Handed,Right Arm Medium,87 (1985-1991),
1109,Gregory Richard John Matthews,15/12/1959,60 years 325 days,Left Handed,Right Arm Off Break,59 (1984-1993),
2757,Kenneth H MacLeay,02/04/1959,61 years 216 days,Right Handed,Right Arm Medium,16 (1983-1987),
1964,Timothy J Zoehrer,25/09/1961,59 years 40 days,Right Handed,Right Arm Leg Break,22 (1986-1994),
1733,Peter L Taylor,22/08/1956,64 years 74 days,Left Handed,Right Arm Off Break,83 (1987-1992),
1457,Bruce A Reid,14/03/1963,57 years 235 days,Left Handed,Left Arm Fast Medium,61 (1986-1992),
0418,Simon P Davis,08/11/1959,60 years 362 days,Right Handed,Right Arm Fast Medium,39 (1986-1988),
1484,Gregory Michael Ritchie,23/01/1960,60 years 286 days,Right Handed,,44 (1982-1987),
0556,Neil A Foster,06/05/1962,58 years 182 days,Right Handed,Right Arm Fast Medium,48 (1984-1989),
0574,Bruce N French,13/08/1959,61 years 83 days,Right Handed,,13 (1985-1988),
0205,David C Boon,29/12/1960,59 years 311 days,Right Handed,Right Arm Off Break,181 (1984-1995),
1812,Michael R J Veletta,30/10/1963,57 years 5 days,Right Handed,,20 (1987-1989),
0454,Anthony I C Dodemaide,05/10/1963,57 years 30 days,Right Handed,Right Arm Medium Fast,24 (1988-1993),
0487,Gregory C Dyer,16/03/1959,61 years 233 days,Right Handed,,23 (1986-1988),
1899,Michael R Whitney,24/02/1959,61 years 254 days,Right Handed,Left Arm Fast Medium,38 (1983-1993),
1216,John E Morris,01/04/1964,56 years 217 days,Right Handed,Right Arm Medium,8 (1990-1991),
0980,Wayne Larkins,22/11/1953,66 years 348 days,Right Handed,Right Arm Medium,25 (1979-1991),
1641,Robin A Smith,13/09/1963,57 years 52 days,Right Handed,,71 (1988-1996),
1680,Alec J Stewart,08/04/1963,57 years 210 days,Right Handed,,170 (1989-2003),
1009,Clairmonte C Lewis,14/02/1968,52 years 264 days,Right Handed,Right Arm Fast Medium,53 (1990-1998),
1517,Robert Charles Russell,15/08/1963,57 years 81 days,Left Handed,,40 (1987-1998),
0177,Martin P Bicknell,14/01/1969,51 years 295 days,Right Handed,Right Arm Fast Medium,7 (1990-1991),
0567,Angus R C Fraser,08/08/1965,55 years 88 days,Right Handed,Right Arm Fast Medium,42 (1989-1999),
1781,Philip Clive Roderick Tufnell,29/04/1966,54 years 189 days,Right Handed,Left Arm Orthodox,20 (1990-1997),
1872,Mark Edward Waugh,02/06/1965,55 years 155 days,Right Handed,Right Arm Off Break,244 (1988-2002),
0740,Ian A Healy,30/04/1964,56 years 188 days,Right Handed,,168 (1988-1997),
0032,Terence Michael Alderman,12/06/1956,64 years 145 days,Right Handed,Right Arm Fast Medium,65 (1981-1991),
1206,Thomas Masson Moody,02/10/1965,55 years 33 days,Right Handed,Right Arm Medium,76 (1987-1999),
1732,Mark A Taylor,27/10/1964,56 years 8 days,Left Handed,,113 (1989-1997),
1125,Craig J McDermott,14/04/1965,55 years 204 days,Right Handed,Right Arm Fast Medium,138 (1985-1996),
1615,Michael J Slater,21/02/1970,50 years 257 days,Right Handed,,42 (1993-1997),
2040,Stuart G Law,18/10/1968,52 years 17 days,Right Handed,Right Arm Medium,54 (1994-1999),
1856,Shane K Warne,13/09/1969,51 years 52 days,Right Handed,Right Arm Leg Break,194 (1993-2005),
1113,Timothy Brian Alexander May,26/01/1962,58 years 283 days,Right Handed,Right Arm Off Break,47 (1987-1995),
0101,Michael A Atherton,23/05/1968,52 years 165 days,Right Handed,Right Arm Leg Break,54 (1990-1998),
0758,Graeme A Hick,23/05/1966,54 years 165 days,Right Handed,Right Arm Off Break,120 (1991-2001),
1750,Graham P Thorpe,01/08/1969,51 years 95 days,Left Handed,Right Arm Medium,82 (1993-2002),
0520,Neil H Fairbrother,09/09/1963,57 years 56 days,Left Handed,Left Arm Medium,75 (1987-1999),
1996,John P Crawley,21/09/1971,49 years 44 days,Right Handed,Right Arm Medium,13 (1994-1999),
